track_id,track_name,track_popularity,explicit,artist_name,album_name,release_date,user_id
33FrMjV1zcWR0OHmk6BGM7,Doe Sob,0,False,Wantons,Doe Sob,2017-04-21,1e2e44dad56e626f
6sQckd3Z8NPxVVKUnavY1F,‘tis the damn season,65,False,Taylor Swift,evermore (deluxe version),2021-01-07,1e2e44dad56e626f
2xoI9GNzL78JT3GF0CLpJk,Time Lapse,38,False,Ludovico Einaudi,Cinema,2021-06-04,1e2e44dad56e626f
5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,71,False,PUBLIC,Make You Mine,2019-08-09,1e2e44dad56e626f
6GNRkaWUB0Lwc19SdkTgx8,All Too Well,57,False,Taylor Swift,Red (Deluxe Edition),2012-10-22,1e2e44dad56e626f
5Yp3ASX87yr9LNOQZsMGZO,Begoo Yadete,0,False,Wantons,Begoo Yadete,2017-05-23,1e2e44dad56e626f
2h5MXpKXgB2UR65PR6hKrd,Running With The Wolves - Pablo Nouvelle Remix,35,False,AURORA,All My Demons Greeting Me As A Friend (Deluxe),2016-03-11,1e2e44dad56e626f
7jrwY3Z674xbQbNp2tlvwz,If You Ever Forget That You Love Me,40,False,Isak Danielson,Tomorrow Never Came,2021-03-05,1e2e44dad56e626f
0PWgAyoxsjwGRuFSO0fyya,Better Than Revenge,59,False,Taylor Swift,Speak Now,2010-10-25,1e2e44dad56e626f
0C1RaT1eyqvoeqskbaTg3E,The Secret History,0,False,The Chamber Orchestra Of London,Kerry Muzzey: The Architect,2014-08-26,1e2e44dad56e626f
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),84,True,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,1e2e44dad56e626f
0TbP1ASV5mBpwpME75LWRA,Carry You,0,False,Ruelle,Carry You,2018-03-30,1e2e44dad56e626f
6lCvK2AR2uOKkVFCVlAzzm,tolerate it,65,True,Taylor Swift,evermore (deluxe version),2021-01-07,1e2e44dad56e626f
2AEpgPCHevVPboRdyvYgVW,Asabani,25,False,Shayea,Asabani,2021-03-12,1e2e44dad56e626f
3rtwdAFtZQiFu1WT0dUVjG,Location (feat. Lil Wayne & Kehlani) - Remix,47,True,Khalid,Location (feat. Lil Wayne & Kehlani) [Remix],2017-03-17,1e2e44dad56e626f
