weekdate,position,artist,track
2010-01-08,49,DRAKE/KANYE/LIL WAYNE/EMINEM,FOREVER
2010-01-08,50,PIXIE LOTT,BOYS & GIRLS
2010-01-15,1,IYAZ,REPLAY
2010-01-15,2,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-01-15,3,3OH3 FT KATY PERRY,STARSTRUKK
2010-01-15,4,LADY GAGA,BAD ROMANCE
2010-01-15,5,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-01-15,6,JOURNEY,DON'T STOP BELIEVIN'
2010-01-15,7,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-01-15,8,KESHA,TIK TOK
2010-01-15,9,SATURDAYS,EGO
2010-01-15,10,BLACK EYED PEAS,MEET ME HALFWAY
2010-01-15,11,CHERYL COLE FT WILL I AM,3 WORDS
2010-01-15,12,ALEXANDRA BURKE,BROKEN HEELS
2010-01-15,13,RIHANNA,RUSSIAN ROULETTE
2010-01-15,14,JUSTIN BIEBER,ONE TIME
2010-01-15,15,JOE MCELDERRY,THE CLIMB
2010-01-15,16,N-DUBZ FT MR HUDSON,PLAYING WITH FIRE
2010-01-15,17,TIMBALAND/NELLY FURTADO/SOSHY,MORNING AFTER DARK
2010-01-15,18,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-01-15,19,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-01-15,20,WILEY & CHEW FU,TAKE THAT
2010-01-15,21,JASON DERULO,WHATCHA SAY
2010-01-15,22,BLACK EYED PEAS,I GOTTA FEELING
2010-01-15,23,FLORENCE & THE MACHINE,REDOG DAYS ARE OVER
2010-01-15,24,ALICIA KEYS,DOESN'T MEAN ANYTHING
2010-01-15,25,ROBBIE WILLIAMS,YOU KNOW ME
2010-01-15,26,CHERYL COLE,FIGHT FOR THIS LOVE
2010-01-15,27,ALEXANDRA BURKE FT FLO RIDA,BAD BOYS
2010-01-15,28,LA ROUX,IN FOR THE KILL
2010-01-15,29,PIXIE LOTT,CRY ME OUT
2010-01-15,30,JLS,EVERYBODY IN LOVE
2010-01-15,31,CHUCKIE & LMFAO,LET THE BASS KICK IN MIAMI GIRL
2010-01-15,32,LOSTPROPHETS,WHERE WE BELONG
2010-01-15,33,MICHAEL BUBLE,HAVEN'T MET YOU YET
2010-01-15,34,JAY SEAN FT LIL WAYNE,DOWN
2010-01-15,35,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-01-15,36,PAOLO NUTINI,PENCIL FULL OF LEAD
2010-01-15,37,MILEY CYRUS,PARTY IN THE USA
2010-01-15,38,KINGS OF LEON,SEX ON FIRE
2010-01-15,39,LADY GAGA,POKER FACE
2010-01-15,40,30 SECONDS TO MARS,KINGS AND QUEENS
2010-01-15,41,TEMPER TRAP,SWEET DISPOSITION
2010-01-15,42,DRAKE/KANYE/LIL WAYNE/EMINEM,FOREVER
2010-01-15,43,LEONA LEWIS,HAPPY
2010-01-15,44,PLACEBO,RERUNNING UP THAT HILL
2010-01-15,45,DAVID GUETTA FT AKON,SEXY CHICK
2010-01-15,46,CHRIS BROWN FT LIL WAYNE,I CAN TRANSFORM YA
2010-01-15,47,N-DUBZ,I NEED YOU
2010-01-15,48,CHIPMUNK,OOPSY DAISY
2010-01-15,49,50 CENT FT NE-YO,BABY BY ME
2010-01-15,50,OWL CITY,FIREFLIES
2010-01-22,1,IYAZ,REPLAY
2010-01-22,2,OWL CITY,FIREFLIES
2010-01-22,3,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-01-22,4,3OH3 FT KATY PERRY,STARSTRUKK
2010-01-22,5,GLEE CAST,DON'T STOP BELIEVIN'
2010-01-22,6,JOURNEY,DON'T STOP BELIEVIN'
2010-01-22,7,LADY GAGA,BAD ROMANCE
2010-01-22,8,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-01-22,9,PLAN B,STAY TOO LONG
2010-01-22,10,ALEXANDRA BURKE,BROKEN HEELS
2010-01-22,11,JUSTIN BIEBER,ONE TIME
2010-01-22,12,KESHA,TIK TOK
2010-01-22,13,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-01-22,14,SATURDAYS,EGO
2010-01-22,15,N-DUBZ FT MR HUDSON,PLAYING WITH FIRE
2010-01-22,16,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-01-22,17,BLACK EYED PEAS,MEET ME HALFWAY
2010-01-22,18,CHERYL COLE FT WILL I AM,3 WORDS
2010-01-22,19,RIHANNA,RUSSIAN ROULETTE
2010-01-22,20,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-01-22,21,TIMBALAND/NELLY FURTADO/SOSHY,MORNING AFTER DARK
2010-01-22,22,JASON DERULO,WHATCHA SAY
2010-01-22,23,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-01-22,24,FLORENCE & THE MACHINE,DOG DAYS ARE OVER
2010-01-22,25,JOE MCELDERRY,THE CLIMB
2010-01-22,26,WILEY & CHEW FU,TAKE THAT
2010-01-22,27,ALICIA KEYS,DOESN'T MEAN ANYTHING
2010-01-22,28,BLACK EYED PEAS,I GOTTA FEELING
2010-01-22,29,PIXIE LOTT,CRY ME OUT
2010-01-22,30,ONEREPUBLIC,ALL THE RIGHT MOVES
2010-01-22,31,ROBBIE WILLIAMS,YOU KNOW ME
2010-01-22,32,JLS,ONE SHOT
2010-01-22,33,CHERYL COLE,FIGHT FOR THIS LOVE
2010-01-22,34,ALEXANDRA BURKE FT FLO RIDA,BAD BOYS
2010-01-22,35,CHUCKIE & LMFAO,LET THE BASS KICK IN MIAMI GIRL
2010-01-22,36,30 SECONDS TO MARS,KINGS AND QUEENS
2010-01-22,37,JAY SEAN FT LIL WAYNE,DOWN
2010-01-22,38,BIFFY CLYRO,MANY OF HORROR
2010-01-22,39,VAMPIRE WEEKEND,COUSINS
2010-01-22,40,MICHAEL BUBLE,HAVEN'T MET YOU YET
2010-01-22,41,LA ROUX,IN FOR THE KILL
2010-01-22,42,DRAKE/KANYE/LIL WAYNE/EMINEM,FOREVER
2010-01-22,43,GLEE CAST,TAKE A BOW
2010-01-22,44,LOSTPROPHETS,WHERE WE BELONG
2010-01-22,45,PAOLO NUTINI,PENCIL FULL OF LEAD
2010-01-22,46,MILEY CYRUS,PARTY IN THE USA
2010-01-22,47,JLS,EVERYBODY IN LOVE
2010-01-22,48,LADY GAGA,TELEPHONE
2010-01-22,49,GLEE CAST,GOLD DIGGER
2010-01-22,50,TEMPER TRAP,SWEET DISPOSITION
2010-01-29,1,OWL CITY,FIREFLIES
2010-01-29,2,IYAZ,REPLAY
2010-01-29,3,GLEE CAST,DON'T STOP BELIEVIN'
2010-01-29,4,3OH3 FT KATY PERRY,STARSTRUKK
2010-01-29,5,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-01-29,6,EXAMPLE,WON'T GO QUIETLY
2010-01-29,7,JOURNEY,DON'T STOP BELIEVIN'
2010-01-29,8,ALEXANDRA BURKE,BROKEN HEELS
2010-01-29,9,LADY GAGA,BAD ROMANCE
2010-01-29,10,JLS,ONE SHOT
2010-01-29,11,SATURDAYS,EGO
2010-01-29,12,JUSTIN BIEBER,ONE TIME
2010-01-29,13,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-01-29,14,KESHA,TIK TOK
2010-01-29,15,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-01-29,16,N-DUBZ FT MR HUDSON,PLAYING WITH FIRE
2010-01-29,17,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-01-29,18,PLAN B,STAY TOO LONG
2010-01-29,19,GIRLS CAN'T CATCH,ECHO
2010-01-29,20,BIFFY CLYRO,MANY OF HORROR
2010-01-29,21,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-01-29,22,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-01-29,23,LIL JON,DO YOU REMEMBER
2010-01-29,24,BLACK EYED PEAS,MEET ME HALFWAY
2010-01-29,25,RIHANNA,RUSSIAN ROULETTE
2010-01-29,26,ONEREPUBLIC,ALL THE RIGHT MOVES
2010-01-29,27,PIXIE LOTT,CRY ME OUT
2010-01-29,28,TIMBALAND/NELLY FURTADO/SOSHY,MORNING AFTER DARK
2010-01-29,29,CHERYL COLE FT WILL I AM,3 WORDS
