user_id,month,type,avg_popularity
179d97494603457f,2018-01-01,artist,42.554455445544555
179d97494603457f,2018-01-01,track,2.277227722772277
179d97494603457f,2018-02-01,artist,49.981651376146786
179d97494603457f,2018-02-01,track,11.697247706422019
179d97494603457f,2018-03-01,artist,44.5
179d97494603457f,2018-03-01,track,4.342465753424658
179d97494603457f,2018-04-01,artist,42.180952380952384
179d97494603457f,2018-04-01,track,9.804761904761905
179d97494603457f,2018-05-01,artist,40.537142857142854
179d97494603457f,2018-05-01,track,10.731428571428571
179d97494603457f,2018-06-01,artist,38.01136363636363
179d97494603457f,2018-06-01,track,11.450757575757576
179d97494603457f,2018-07-01,artist,41.13
179d97494603457f,2018-07-01,track,9.73
179d97494603457f,2018-08-01,artist,41.49838187702265
179d97494603457f,2018-08-01,track,14.380258899676376
179d97494603457f,2018-09-01,artist,41.86695278969957
179d97494603457f,2018-09-01,track,12.67381974248927
179d97494603457f,2018-10-01,artist,40.19163763066202
179d97494603457f,2018-10-01,track,10.031358885017422
179d97494603457f,2018-11-01,artist,41.392857142857146
179d97494603457f,2018-11-01,track,12.39795918367347
179d97494603457f,2018-12-01,artist,45.11538461538461
179d97494603457f,2018-12-01,track,11.115384615384615
179d97494603457f,2019-01-01,artist,40.4537037037037
179d97494603457f,2019-01-01,track,17.10185185185185
179d97494603457f,2019-02-01,artist,44.838509316770185
179d97494603457f,2019-02-01,track,15.565217391304348
179d97494603457f,2019-03-01,artist,40.42211055276382
179d97494603457f,2019-03-01,track,19.65829145728643
179d97494603457f,2019-04-01,artist,39.8
179d97494603457f,2019-04-01,track,12.817391304347826
179d97494603457f,2019-05-01,artist,39.44512195121951
179d97494603457f,2019-05-01,track,16.817073170731707
179d97494603457f,2019-06-01,artist,39.74074074074074
179d97494603457f,2019-06-01,track,15.842592592592593
179d97494603457f,2019-07-01,artist,33.68382352941177
179d97494603457f,2019-07-01,track,4.75
179d97494603457f,2019-08-01,artist,40.81395348837209
179d97494603457f,2019-08-01,track,16.0
179d97494603457f,2019-09-01,artist,44.9496855345912
179d97494603457f,2019-09-01,track,10.176100628930818
179d97494603457f,2019-10-01,artist,43.99337748344371
179d97494603457f,2019-10-01,track,6.562913907284768
179d97494603457f,2019-11-01,artist,32.208333333333336
179d97494603457f,2019-11-01,track,10.395833333333334
179d97494603457f,2019-12-01,artist,27.472727272727273
179d97494603457f,2019-12-01,track,8.786363636363637
179d97494603457f,2020-01-01,artist,23.747967479674795
179d97494603457f,2020-01-01,track,8.715447154471544
179d97494603457f,2020-02-01,artist,30.473684210526315
179d97494603457f,2020-02-01,track,11.638157894736842
179d97494603457f,2020-03-01,artist,40.648
179d97494603457f,2020-03-01,track,23.832
179d97494603457f,2020-04-01,artist,35.71969696969697
