artist_name,artist_id,artist_popularity,artist_image,primary_genre,super_genre
Birds of Burden,1OUXefKxNbTREIGX4VrvUe,0,https://i.scdn.co/image/ab67616d0000b2733ada7af5580c1a8e81620101,Rock,Rock
Black Onassis,1oIc6UFndc0KEYAMtbYL0N,0,https://i.scdn.co/image/ab6761610000e5eb6faf86e56a39e6032517c407,Electronic,Ambient & Experimental Electronic
Black Patterns,5sWKcbU2V5HkLQAIwll5qQ,0,https://i.scdn.co/image/ab67616d0000b273a63df3953bd888d5a842906d,lo-fi house,Electronic Dance Music (EDM)
Blair Sound Design,1CuQhtsXEzF4RbfgjrZivI,0,https://i.scdn.co/image/ab67616d0000b273c56b679b4b58ebb979ea2c26,lo-fi house,Electronic Dance Music (EDM)
Blazing Redheads,0saZdCuFtIT5oneC4MhBXW,0,https://i.scdn.co/image/ab67616d0000b273adc888461b014e68a473b515,latin jazz,Jazz
Blixaboy,4H2NzNFY2AvDjUK7Vw44zu,0,https://i.scdn.co/image/ab6761610000e5eb37436e29ab81c20b34211063,idm,Ambient & Experimental Electronic
Blockparty,6tra8DBI8Owfuw8mbwk4WV,0,https://i.scdn.co/image/ab67616d0000b273d3c64e6c5077010d3dcd0c85,,
Blue-Eyed Hawk,6Q5rZnJ05K6tPljUSZ6WrP,0,https://i.scdn.co/image/ab6761610000e5eb3640864440a172d863d9a09f,jazz fusion,Jazz
Bogdan Dražić,03gJYEgVLWXCnDWtpvV8TZ,0,https://i.scdn.co/image/ab67616d0000b273dfb102246b547ad27d564f40,ebm,Electronic Dance Music (EDM)
Bongeezy,1ZNAfrp7uaVhi5erqiEqyi,0,https://i.scdn.co/image/ab6761610000e5ebf23135836658048f04123e27,,
Brazen,3yjUE55wfDvWNH2voOin8q,0,https://i.scdn.co/image/ab67616d0000b2731b02f0f31604561e3eb93937,breakbeat,Garage & Breaks
Broadstrokes,3IStT5xgUOXeY1i4BTyVqS,0,https://i.scdn.co/image/ab6761610000e5eb7fd616e9d008f3cb6aed5c42,soul jazz,Jazz
Broadway,6E61EDDm6DtxYZpT3p0xTK,0,https://i.scdn.co/image/ab67616d0000b273a325da526d1c2f1e7652919f,Rock,Rock
Broke Casino,6w8hwzgW1VUwuFnxSQ0uTA,0,https://i.scdn.co/image/ab6761610000e5eb59bc4328913284d5a81e9c76,Rock,Rock
C.P.Smith,42Sq7zMUa14pEDAIod4byg,0,https://i.scdn.co/image/ab67616d0000b2735f08fc282760423d39ddd9bb,idm,Ambient & Experimental Electronic
CASH BANDICOOT,3ZYL5wTYJMcIt9ZlO0AXdU,0,https://i.scdn.co/image/ab6761610000e5ebbcc7f176fa3d0059907d65fa,,
CJay,5nJCXAh5NRTz0yAZWMJGYM,0,https://i.scdn.co/image/ab6761610000e5ebc1fe464bcc46792b612c86d3,Electronic,Ambient & Experimental Electronic
Ca$h Bandicoot,265wt0gzpvwnjO2kSZrYNS,0,https://i.scdn.co/image/ab6761610000e5ebfb13a9aa8ce66f8066c76ea6,baltimore club,Bass Music
Caesar Did It,7eTRxemsp99tDdSHwnhVXx,0,https://i.scdn.co/image/ab6761610000e5ebf306fe096e9423c31d88fbe4,,
CalmStasis,3wNhh7ObEGC8BXPaAbNe39,0,https://i.scdn.co/image/ab67616d0000b273dbbf27a0b31e2e42e7ce0ea4,,
Calves,4u41wypLbwujPyhwwzsnVF,0,https://i.scdn.co/image/47118b912e46149e336a26f3eee5453c841faf6e,Rock,Rock
Cameron,7ztAX1yeFm7A3EqhwmGBc4,0,https://i.scdn.co/image/ab6761610000e5eb1e2eaf3bb4af89fe85c84e29,gabber,Garage & Breaks
Carlo Farinha,5hAjPT2EOZIwjN73IYH9I2,0,https://i.scdn.co/image/ab6761610000e5ebac56a1af7780edfab40eaa46,jungle,Garage & Breaks
Carmen MacRae,1UXPbYGvV9wwXSdsOliwQd,0,https://i.scdn.co/image/ab67616d0000b273e6b6699c77cb754bc31939f6,vocal jazz,Jazz
Caspar Leopard,2MBVm6ftlzhoyLKctyIEt6,0,https://i.scdn.co/image/ab6761610000e5eb9bf83f01c5ce7dbc736193a0,Electronic,Ambient & Experimental Electronic
Cat Mclean,2qy3PnpBqtM2yivjLYcmVj,0,https://i.scdn.co/image/ab67616d0000b27310cfc0a2ddc6581083801b24,Rock,Rock
Cengiz Tanc,5HS1BoXPMBMPRLGpbTFJa2,0,https://i.scdn.co/image/ab67616d0000b27355a3653486b8f92a25ddae34,,
Chamber orchestra of Leningrad Philharmonia,4BNJEzXq7mhty2730D4NYa,0,https://i.scdn.co/image/ab67616d0000b2737a5c47ea56c47615e96ddab6,,
Charles Beach Hawley,5AFthJkxX1MU1SdICVj9Ax,0,https://i.scdn.co/image/ab67616d0000b273086a6bc404d21ff99cb25772,,
Charlie!,4zxkkVoMN7N2stzLIB0d01,0,https://i.scdn.co/image/ab6761610000e5eb2fe1effd5d5df167372b8bd3,tech house,Electronic Dance Music (EDM)
Chicago Jim,6aifImaPHSwOWiY96v5oR4,0,https://i.scdn.co/image/ab67616d0000b273ca60f4c75eff34a17e8793f4,chicago house,Electronic Dance Music (EDM)
ChilledCow,5lYIovAuRzHZLXAZ2UgVmz,0,https://i.scdn.co/image/ab6761610000e5eb7cccb050eb369566a96d00fe,,
Chrislo,485nlorWp3gz0JwoGxVMGZ,0,https://i.scdn.co/image/ab67616d0000b273ffb537de83d2cf223dba9445,Electronic,Ambient & Experimental Electronic
Christmas Choirs,2SDqobPsP35O3BZAfUYyFQ,0,https://i.scdn.co/image/ab67616d0000b2731f73436e0a634de31f61afa2,,
Christopher D Ashley,2PRitPunjUVIiBhD4LCVOW,0,https://i.scdn.co/image/ab67616d0000b2732e12eed3c81fa54f14d649f2,new rave,Electronic Dance Music (EDM)
Classic Klezmer Trio,1Mq20TKTSGsIPw9HzGH9eS,0,https://i.scdn.co/image/ab67616d0000b27344721b3891ca37678cd2691e,Jazz,Jazz
Classical Guitar Samplers,2x4pVpzxxhOD5yFyb0wEqS,0,https://i.scdn.co/image/ab67616d0000b2730c844c10eee6e213de917c83,,
Cloudboy,61ABKqhBpwJI7qynjyhbY2,0,https://i.scdn.co/image/ab6761610000e5eb03b0cdeb5c0c334e02219dda,Electronic,Ambient & Experimental Electronic
Clouds For Sale,4QLgJ7a3lBC4ZCe3nQWfyu,0,https://i.scdn.co/image/ab6761610000e5eb1ad0532a349867d177706a4f,,
Comb the Desert,1QojbDDcN0rLTdDdxE8Zss,0,https://i.scdn.co/image/ab6761610000e5eb3d672be7754362896a88440e,Rock,Rock
Crispin Hunt,0OjccKNy9xWK8vJt2r4Hfg,0,https://i.scdn.co/image/ab67616d0000b27371bddcefbaf87768bef80886,alternative dance,Electronic Dance Music (EDM)
Cross Jordan Singers,1hMTiRk0z0lsiH5GawNGdO,0,https://i.scdn.co/image/ab67616d0000b2730ccdba2f3628608f38581398,Funk / Soul,R&B/Soul
Cyborg 95,1oLuIJGoRWhYTfA1h8RM5J,0,https://i.scdn.co/image/ab67616d0000b273fe024ecd0a2180c2358e7139,Electronic,Ambient & Experimental Electronic
D-Ana,4ZW4SmmJzm6bCv4zGybTSp,0,https://i.scdn.co/image/ab67616d0000b273f954662c455c7f279af0c749,indie r&b,R&B/Soul
DJ Jacopenji,3ulEyzsbDegiYAmL2Ney01,0,https://i.scdn.co/image/ab67616d0000b273ddf5924311b6512ce5409c4b,,
DJ Kron,1uwWu8oLWOOYIgpZQL9urI,0,https://i.scdn.co/image/ab67616d0000b2730352205531209abd31b25bfa,Electronic,Ambient & Experimental Electronic
DJ Residue,764orTWgcOrgj61Gc1Jw6b,0,https://i.scdn.co/image/ab67616d0000b27365bdcf901ca9a662ca4dfdc5,experimental,Ambient & Experimental Electronic
DMG,2nxofaRKzUgrwnWseuVzcW,0,https://i.scdn.co/image/35caee82bb4c9637aa089a09679b0054a18264f3,frenchcore,Garage & Breaks
Dabone,6YsFdkScM0NvvqNp0oF5oV,0,https://i.scdn.co/image/ab6761610000e5ebce22cf21b2cfcccdbf32d9a1,,
Daniel Lessner,2x36n65XTsB79MN98VjZFQ,0,https://i.scdn.co/image/ab67616d0000b273b0991c887b8f56752470b0de,classical piano,Classical/Orchestral
Dave Fredrickson,1HQt7wM4ktqw111HUYFQ0r,0,https://i.scdn.co/image/ab67616d0000b27303fdc44193cff56322839c25,traditional folk,Folk/Acoustic
Denise Mangiardi,5F6qWZuONPaZJnBN423Ri6,0,https://i.scdn.co/image/ab6761610000e5eb7b08dd466b5ab35f9a99e8d5,vocal jazz,Jazz
Denni Ian,73zVj4UIYVIo6ahlOPDEL8,0,https://i.scdn.co/image/ab6761610000e5ebcd5b898171761b3459915c58,Rock,Rock
Der-Con,4DUsCSb7wtayeaBJl83QSU,0,https://i.scdn.co/image/ab6761610000e5ebcc28c758a60dccc49c3b52b1,arabic hip hop,Hip Hop/Rap
Devienne,1zLQnOFYU2MSSYgmGf64jN,0,https://i.scdn.co/image/ab67616d0000b273299fd170b04ee7e9bb2f56e8,Pop,Pop
Diabl's,3EUdTaSJNWIGHNcCt1csX3,0,https://i.scdn.co/image/ab67616d0000b2731a4a7659dd40f9fc471bde5f,tekno,Techno & Trance
Die Horries,4u5Vy9NkYfPsrhJL6Yp0L3,0,https://i.scdn.co/image/ab67616d0000b273fb17170cb4bdc22dadae00a0,,
Die See,4C5Zzp25eOugvSULzxV7v0,0,https://i.scdn.co/image/ab6761610000e5ebb67e1ca8c9e617aee48c2d7b,Rock,Rock
Dior Cardyae,0l0tN6kijU25qGGRrjKTBw,0,https://i.scdn.co/image/ab6761610000e5eb270cf946fdcef181f7ac7788,,
Dizzy Woodz,716o5nkHOjtU2by5BZBw3o,0,https://i.scdn.co/image/ab6761610000e5eb4e0f0c62489a54894df638ea,,
Dj Nemora,1WZFBFTlUvoqldF8ntTTnd,0,https://i.scdn.co/image/ab67616d0000b2739f44359ba680bc37650c5672,Electronic,Ambient & Experimental Electronic
Dj Viberay,5N4qT3x52q0kc32x0JOBoI,0,https://i.scdn.co/image/ab67616d0000b273a9f05e36e66227b5631cb9ba,,
Doctor Frost,0iXfqtHVr8PFPNhyCFKylr,0,https://i.scdn.co/image/ab67616d0000b273e90f3272bab4af53e338ed7c,g-funk,Hip Hop/Rap
Dolomite Minor,0j0NzikZ753ZSGCAfnMg4c,0,https://i.scdn.co/image/72a648dbe310dc3d6985c4ef392ebcd5e0931f03,stoner rock,Rock
Dooley Ridah,58BZB8M4iEy2Y3CZHuLdVB,0,https://i.scdn.co/image/ab67616d0000b273643f83f6d4167b559d6e7b5d,,
Doscompac,0YfsB7aTiLLgCWK2z08j0R,0,https://i.scdn.co/image/ab6761610000e5eb85604b5c53dddf945526e6e3,,
Duke Nukem,6g0c37tP1Yb9bdvt3fE1jw,0,https://i.scdn.co/image/ab67616d0000b273219db17c5b96beb1f72f172c,speed metal,Metal
Dunk Tunk,2TQr37TY0zawUSyRgrfmKa,0,https://i.scdn.co/image/ab67616d0000b273fdc6b6960c532eeccbe44960,indie electronic,Ambient & Experimental Electronic
EIF,1Ip3Kc3dci4G1MKzWJstX9,0,https://i.scdn.co/image/ab6761610000e5ebf897f2da7ced549fcba02ea8,Electronic,Ambient & Experimental Electronic
ERENKO,0iVJ144XsnQgeFhSTJ1XqZ,0,https://i.scdn.co/image/ab6761610000e5eb4d3bd607fc1e21ad65d19740,,
Edward Johnson,10oAEFeg6rjFRK3Iyyx715,0,https://i.scdn.co/image/ab67616d0000b273ee483758fa18d90c41fd9624,Classical,Classical/Orchestral
Effy,1y0XP5nAN3zuXQ3vcPJ74x,0,https://i.scdn.co/image/ab67616d0000b273805e81e0cb4f02b1d467fdb6,bass music,Bass Music
Elodie Jade,24fZLj4Fm0jljxKZ2qsOpR,0,https://i.scdn.co/image/ab67616d0000b27361264ed108552ca992e7bbb0,,
Elysia Crampton,75v4Rn3SqXn6dmq2PFrRgN,0,https://i.scdn.co/image/ab6761610000e5eba25a0f7fc0a7a882dcf20f9e,Electronic,Ambient & Experimental Electronic
Elşad Əkbərov,3NVY4cww8f5fCwk1575MbN,0,https://i.scdn.co/image/ab67616d0000b273a6bc57eccf716640d411346a,,
Equator Club,1mgVFummFaTVwyH1M0d6oK,0,https://i.scdn.co/image/ab6761610000e5eb37f3819d1b973856281e46e8,,
Eric Sneo & Sascha Kron,3iMozaeGTQdXmYiqmYGFr7,0,https://i.scdn.co/image/ab67616d0000b27337cf5d8aeb3d3ea659dd4294,hard techno,Techno & Trance
Error 909,4VtDFL2uriGPYAeh0R9S45,0,https://i.scdn.co/image/ab6761610000e5eb0c09e635341e47bfd0963518,,
Error Corrective,7bheeP3QzQBh7JYr4YuCsE,0,https://i.scdn.co/image/ab67616d0000b27336fedfbaf3c1beca7bd85291,psytrance,Techno & Trance
European Union Youth Orchestra,7iR1ppLTl5HW9t85K21o1d,0,https://i.scdn.co/image/ab6761610000e5eb07a9aaaea1903d61153a3eb7,Classical,Classical/Orchestral
FA.ded.AF,2osGc3NJ4NJImjaCPNys7W,0,https://i.scdn.co/image/ab6761610000e5ebe4076ef1aef790f2d756803e,,
FRAME JANKO,4XAZVtfp33Adx1bxtJKAZ6,0,https://i.scdn.co/image/ab6761610000e5ebc952ec968307811b834062ea,,
Fabinho Matias,6H6DyGgNrjOa43wNHZ7dTE,0,https://i.scdn.co/image/ab6761610000e5eb3a882c16ace49b059b970686,dark ambient,Ambient & Experimental Electronic
Faith Grace,1O5FlbCH7titT6SkEa10wC,0,https://i.scdn.co/image/ab67616d0000b2736f2fd75ec8cd1b22d05e2bf2,Pop,Pop
Feign,62KtseXhYT2GVhOvUk14EU,0,https://i.scdn.co/image/ab6761610000e5eb942492b31ca46db671cc9dab,Rock,Rock
Fights,28nTQIqiykwJMmdmvagMCq,0,https://i.scdn.co/image/ab67616d0000b2738ef558dab00cd66a086789fb,Rock,Rock
Finn Mortensen,1Ku1qtQ90OmRBDdbcXEdIm,0,https://i.scdn.co/image/ab67616d0000b2732470a0c84ec2e983f27c70f8,Classical,Classical/Orchestral
Fishy Tunes,516GstZDPpbTfcOtC3Ui5x,0,https://i.scdn.co/image/ab67616d0000b273d0efefbac74c8f1d1141dceb,Electronic,Ambient & Experimental Electronic
Flow River's,6hA6lMKlkmA9dKLnuBsnnS,0,https://i.scdn.co/image/ab67616d0000b27365b420cda381267bd6e3cc0d,Electronic,Ambient & Experimental Electronic
Flying Bathtubs,2moRyjFeOjE8oJYfPqfmlr,0,https://i.scdn.co/image/ab67616d0000b2731a3e688107bcec7e60c7f77b,,
Fran Hartnett,2cVCVxALgLh7AkJMf2g4Ad,0,https://i.scdn.co/image/ab67616d0000b273179472db79b2a71ac9ec9107,Electronic,Ambient & Experimental Electronic
