date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
18-01-2021,Bolsonaro rival hails Covid vaccinations as 'triumph of science against denialists',São Paulo governor João Doria takes aim at Brazil’s president after his state beat federal authorities to secure first coronavirus vaccines,https://www.theguardian.com/world/2021/jan/18/bolsonaro-rival-hails-covid-vaccinations-as-triumph-of-science-against-denialists,https://media.guim.co.uk/1f13cc77b484a78d24e919b7cda91116fcb3b3f3/0_119_2713_1628/500.jpg
19-01-2021,International arrivals to New Zealand must return negative Covid test before flight,"Australia, Antarctica and most Pacific Islands exempt from new requirement, but 14-day quarantine still applies to all travellers",https://www.theguardian.com/world/2021/jan/19/international-arrivals-to-new-zealand-must-return-negative-covid-test-before-flight,https://media.guim.co.uk/24e657538b0c6a82e28de3475eb2947552b17ebb/80_0_5005_3004/500.jpg
20-01-2021,"Talking can spread Covid as much as coughing, says research",Tiny aerosols of the virus emitted when speaking linger in air for longer than larger droplets from a cough,https://www.theguardian.com/world/2021/jan/20/talking-can-spread-covid-as-much-as-coughing-says-research,https://media.guim.co.uk/4e69eaca0212ae8186cd5804e5b922bbc7215e8e/0_113_4928_2956/500.jpg
21-01-2021,"Covid cases may have stopped falling, major English survey shows","Tests from 142,000 people suggest level of infections stable or rising slightly after recent falls",https://www.theguardian.com/world/2021/jan/21/covid-cases-may-have-stopped-falling-major-english-survey-shows,https://media.guim.co.uk/4a738b1983257be12a29db0e87dab1b9319f8a49/0_396_6048_3628/500.jpg
22-01-2021,New Zealand eagle rays astonish aquarium with mystery births,Scientists say pups may be result of asexual reproduction or that rays may have stored sperm from last encounter with males,https://www.theguardian.com/world/2021/jan/22/new-zealand-eagle-rays-astonish-aquarium-with-mystery-births,https://media.guim.co.uk/0e67e7eadf1b5419f793046cb77bbb880a639c72/59_0_1687_1012/500.jpg
23-01-2021,Summer holidays cancelled? UK faces big decision on border,"Stricter controls appear likely, with government’s approach in stark contrast to that during first Covid wave<br>",https://www.theguardian.com/world/2021/jan/23/summer-holidays-cancelled-uk-faces-big-decision-on-border,https://media.guim.co.uk/5cf82b7be32e15628a58dce5acb167ab13945b97/0_199_4957_2976/500.jpg
24-01-2021,Spain's defence chief quits over alleged vaccination queue-jumping – as it happened, This blog is now closed. We’ve launched a new blog at the link below: <br> ,https://www.theguardian.com/world/live/2021/jan/23/coronavirus-live-news-uk-variant-fears-while-western-australia-to-relax-border-rules,https://media.guim.co.uk/a025a84033e8024155c309f157a47126e41e77f4/0_516_5842_3505/500.jpg
25-01-2021,"New Zealand Covid case appears to be South African variant, officials say",Testing and genome sequencing sheds more light on outbreak at quarantine hotel in Auckland,https://www.theguardian.com/world/2021/jan/25/new-zealand-covid-case-appears-to-be-south-african-variant-officials-say,https://media.guim.co.uk/0c4244e3f6b31ab7e9c9edb21720d3a468679536/0_182_5472_3283/500.jpg
26-01-2021,Wuhan doctor: China authorities stopped me sounding alarm on Covid,Medic at heart of original outbreak tells BBC documentary staff were not allowed to wear masks despite concern about human transmissionCoronavirus – latest updatesSee all our coronavirus coverage,https://www.theguardian.com/world/2021/jan/26/wuhan-doctor-china-authorities-stopped-me-sounding-alarm-on-covid,https://media.guim.co.uk/ad2ca0e4a4280393ecb72d658b2fcbed30e717a9/0_796_5133_3082/500.jpg
27-01-2021,'Seen all this before': Tourism NZ says ditch influencer shots for something new,"No more lavender fields or mountain tops please, urges agency in effort to stop people ‘travelling under the social influence’ ",https://www.theguardian.com/world/2021/jan/27/seen-all-this-before-tourism-nz-says-ditch-influencer-shots-for-something-new,https://media.guim.co.uk/7f8373960c260774c74d9de1833e26ca62f51b9e/0_240_5854_3513/500.jpg
28-01-2021,Covid-19 cases in England 'must fall to ease NHS pressure',Imperial College study notes decline in week to 22 January but fall is slower than in first national lockdown,https://www.theguardian.com/world/2021/jan/28/covid-cases-in-england-must-fall-faster-to-ease-nhs-pressure,https://media.guim.co.uk/7f26e3f831037932ff7ffd3a33c63000359678e6/0_276_4134_2480/500.jpg
29-01-2021,Paris hospitals to suspend jabs next week – as it happened,UK has ordered 60m doses of Novavax jab; French health authority says only enough doses left for second shots from 2 February,https://www.theguardian.com/world/live/2021/jan/28/coronavirus-live-news-who-says-covid-war-can-be-won-white-house-predicts-90000-more-deaths-by-march,https://media.guim.co.uk/f11e07da540e6d8732acf6dca7bbe12f4110532b/0_0_3500_2101/500.jpg
