artist_image,artist_id,artist_popularity,artist_name,supergenre,genres,primary_genre
https://i.scdn.co/image/9785700bae86f991f78183076861c7342a4bcf90,2QOIawHpSlOwXDvSqQ9YJR,72.0,Antonio Vivaldi,Classical/Orchestral,,classical
https://i.scdn.co/image/ab6761610000e5eba2e96cc51da07a7f03a78040,72H54BeNWF82wu5czm91VX,27.0,Shiho Yabuki,Ambient & Experimental Electronic,,ambient
https://i.scdn.co/image/506298d8a0d27709a683b392009cf67af89017a0,1x5s5AcJ440n1gmUU0Tvgr,20.0,Fumio Miyashita,Ambient & Experimental Electronic,,ambient
,6sBfpQu5cJ8kZO5LFiFJQK,21.0,Morgan Adams Quartet Plus Two,Hip Hop/Rap,,jazz rap
https://i.scdn.co/image/ab6761610000e5eb43a7ba7bdd939636b95a8e33,6pZIC4vzuNxdwy8hJSq29S,47.0,Greydon Park Band,Jazz,,jazz
https://i.scdn.co/image/ab67616d0000b27309be9977c4f657191b4ac427,1ap7d4ByxAHY8C3QnedJH7,14.0,Jacob Karlzon Trio,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5eb78101a2a151f5ad5ab786b11,79yCMWbCizwUeILWnLCQNp,20.0,Marion Harris,Jazz,,ragtime
https://i.scdn.co/image/a6a0e86fd68166c7cd4425bc0eadab5131f4fbd1,3kUKwTJdH8FuWzF8p6Dg9E,50.0,Dave Brubeck,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5eb27b0d2b598a6ae262c63e390,0j0BXMwyoY9NJTbcviFEOp,14.0,LBL,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb3ba42f583aba09eca8bfebd8,3omtF8ft7xflvmvfO5WUjI,12.0,Elusive,Jazz,,nu jazz
https://i.scdn.co/image/ab6761610000e5ebc79ce937f544abcbf8516512,74FQKqCtm4hmvvxvIJlzrA,30.0,Bokoya,Jazz,,soul jazz
https://i.scdn.co/image/3683f09213e2b9f662ebe36178c97f2aacdc98ab,4yPUoMbYxVJ6XNJWZVJV7Y,31.0,Al Cohn,Jazz,,cool jazz
https://i.scdn.co/image/ab6761610000e5eb3f0efa0452a861c2a21d7ef1,09cx9hVWTix2e9uCcBXeds,34.0,C.Tappin,Hip Hop/Rap,,jazz rap
https://i.scdn.co/image/ed4dfb631b8135956ee8b568a6a0c1c1d073a531,7g3iwvP459BN53F7CDxemI,27.0,Jason Moran,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5eb53842a09c7f84fda4255b3ea,0Suv0tRrNrUlRzAy8aXjma,67.0,Haddaway,House & EDM,,eurodance
https://i.scdn.co/image/ab6772690000c46c0564b6c825349fc15885bd76,6aq8T2RcspxVOGgMrTzjWc,63.0,Soft Cell,Pop,,synthpop
https://i.scdn.co/image/ab6761610000e5ebc19a88576ebe6fcbb325c297,7hJcb9fa4alzcOq3EaNPoG,82.0,Snoop Dogg,Hip Hop/Rap,,g-funk
https://i.scdn.co/image/ab6761610000e5eb6ba588504b62a942b66ebc2b,3l2xsQ69ajm8r7KZERjp6x,21.0,Flandrs,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab67616d0000b2732f6101a5ac60c81314f8cdec,2vtcShcGkXS1SZeLwEOqKz,13.0,Bill adlib,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab67616d0000b273989db81cb16ee7c7dcae2a74,0JbqyQSsMK7TavqlR0yNON,36.0,Bobbi Humphrey,Jazz,,jazz funk
https://i.scdn.co/image/ab6761610000e5ebb96c196b42dbeb9b3956423d,4B5XByhwtjsqGxs91fYMhZ,36.0,Ronnie Foster,Jazz,,jazz funk
https://i.scdn.co/image/e77b0fac2fe8b05926adacb88896a00a50a3cbcf,6rxxu32JCGDpKKMPHxnSJp,30.0,Eric Dolphy,Jazz,,free jazz
https://i.scdn.co/image/ab6761610000e5eb728eba708e1e512dc6ad2d6e,0yAQ48yJ94zWFTs0YUIdcE,39.0,Spaze Windu,Hip Hop/Rap,,jazz rap
https://i.scdn.co/image/ab6761610000e5ebb5a28e01b5a7c07193fb698f,0AV4dakwcbV6LhxlImHp7v,10.0,popadiclo,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb9b310b4907a8dfa21a2f0d1d,2QjVv1gkLn8XkQxVndgLHF,43.0,Bill Laurance,Jazz,,jazz fusion
https://i.scdn.co/image/ab67616d0000b273ae03713ee4731b337e8ffdd6,7oc0u9Q0BkLat7c10fuHoF,10.0,Jr. Wellness,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/fa31daeaf1731af2b4e2a3bed0e993e854df9620,4PqV4TEgVltnn4N47ODKV6,26.0,Al Foster,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5ebeba1ac7c1c94bc8592aa47b1,3n36M7jE1JSaZ5OXHdxo37,25.0,PRGMAT,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebd9bacc87ceede4e2d691937d,4WT5TNNUvgRLjAiWce3K5z,35.0,digitalluc,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebcd9055febc77958741a0d3cb,0YYVUJe2T4XdBza6Y0RA8P,28.0,Ameba,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5eb298665bd60b5244be0acf0e4,2b0aKuno01NxPWVCUVIEc8,46.0,Elijah Who,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab67616d0000b27391e3dfdb19db7650a4c17e84,4fV8RoCy9P8JLEJirqs1MJ,11.0,Kenny Barron Quintet,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5eb24802ee83db3730660875640,1Z9Kmnj7PimziF4URnIzL2,18.0,Fona,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebfc0b1dfb924efc76843689b5,18w0RnrEkEovXUeERXyD6q,39.0,Tohaj,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebe3aa2d38ecaa9ad7185107b3,3rCwiAT9oVk1TRcY8A5x9r,32.0,Hulk Hodn,Hip Hop/Rap,,german hip hop
https://i.scdn.co/image/ab6761610000e5eb563ebfa2143e183f0bb7c113,7D6kLgvRHr6DNDavc0LhvI,35.0,jhfly,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5ebcee5a355201c3ce0fff73a91,254ga0emOv4GhfUUw5J16h,42.0,Delayde,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebe3ed0a35ed12aee6a67f9526,6rvxjnXZ3KPlIPZ8IP7wIT,35.0,Sweatson Klank,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab67616d0000b273a7347fadfab095f7f55d9263,2D8fHWnDV83da2aXmF1EaD,38.0,charlie toØ human,Hip Hop/Rap,,lo-fi
