genre,count
medieval metal,25
witch house,25
psychobilly,25
electro house,25
latin,25
melodic bass,24
baltimore club,24
hip house,24
Trip Hop,24
Jazzy Hip-Hop,24
New Age,23
french indie pop,23
Boom Bap,23
Jazz-Funk,23
rally house,23
thrash metal,23
deathrock,23
roots rock,22
Emo,22
funk,22
alté,22
UK Garage,22
mathcore,22
villancicos,22
flamenco,22
j-pop,21
rap,21
Art Rock,21
Chillwave,21
Dream Pop,21
Novelty,21
Fusion,21
chicago drill,20
nightcore,20
new jack swing,20
christian,20
Bass Music,20
japanese indie,19
j-r&b,19
dark r&b,19
salsa,19
Shoegaze,19
Hard Trance,19
Soul-Jazz,18
Spoken Word,18
gnawa,18
Avantgarde,18
Brass Band,18
singeli,18
Post Rock,18
Free Improvisation,17
europop,17
Hardcore Hip-Hop,17
Choral,17
country hip hop,17
rage rap,17
folk metal,17
Psychedelic,17
cha cha cha,17
power metal,17
christian folk,17
Story,17
Klezmer,17
jersey club,17
Acid,16
Jazz-Rock,16
ccm,16
red dirt,16
Progressive Trance,16
ballroom vogue,16
calypso,16
moombahton,16
banda,16
acoustic pop,16
worship,16
nova mpb,15
Synthwave,15
canzone napoletana,15
Neo-Classical,15
Surf,15
Metalcore,15
symphonic metal,15
tango,15
Future Jazz,14
laïko,14
Audiobook,14
Beat,14
noise music,14
j-rap,14
trap soul,14
indie pop,14
nederpop,14
highlife,14
Grunge,14
texas country,14
electronic,14
norteño,13
j-rock,13
Nu-Disco,13
latin alternative,13
Free Jazz,13
entehno,13
Grime,13
indie electronic,13
Dark Ambient,13
horror punk,13
Tropical House,12
Cloud Rap,12
Black Metal,12
electrocumbia,12
nz reggae,12
urbano latino,12
Tribal,12
gospel,12
techengue,12
grindcore,12
Dancehall,12
aussie drill,12
soft pop,12
bollywood,11
Stoner Rock,11
Glitch,11
latin pop,11
Big Beat,11
azonto,11
latin indie,11
zydeco,11
bhajan,11
sufi,11
Post-Hardcore,11
Drone,11
ethiopian jazz,10
melodic death metal,10
latin folk,10
Krautrock,10
freestyle,10
pop soul,10
brooklyn drill,10
Thug Rap,10
Chiptune,10
Afrobeat,10
christian hip hop,10
Schlager,10
AOR,10
Italo-Disco,10
norwegian pop,10
Military,10
new orleans bounce,10
Nu Metal,10
grupera,10
Religious,10
Neofolk,10
japanese vgm,9
Ethereal,9
trap latino,9
Music Hall,9
Bubblegum,9
Poetry,9
Field Recording,9
hindi pop,9
neoperreo,9
mambo,9
brazilian bass,9
bubblegum pop,9
Death Metal,9
Swing,9
black metal,9
Parody,9
Big Band,8
Lounge,8
Doom Metal,8
mizrahi,8
Minimal Techno,8
Neo-Romantic,8
Hard House,8
desi,8
bounce,8
bhangra,8
kuduro,8
Indian Classical,8
devotional,8
Latin Jazz,8
bacardi,8
Hands Up,8
epadunk,8
kayokyoku,8
merengue,8
Garage House,8
christian pop,8
acoustic country,8
retro pop,8
vocaloid,8
indie r&b,7
gothic metal,7
trap,7
Eurodance,7
corrido,7
Happy Hardcore,7
Pub Rock,7
Marches,7
Bluegrass,7
Jungle,7
Glam,7
Gypsy Jazz,7
new york drill,7
Modal,7
Smooth Jazz,7
pop worship,7
pop,7
brazilian phonk,7
Country Blues,7
Hardstyle,7
chinese indie,7
Psy-Trance,7
Southern Rock,7
southern gospel,7
Thrash,7
Math Rock,7
gospel r&b,7
hiplife,6
trova,6
Space Rock,6
brazilian rock,6
Musique Concrète,6
Ragga HipHop,6
punjabi pop,6
Radioplay,6
kizomba,6
Arena Rock,6
Afro-Cuban Jazz,6
Rockabilly,6
Bassline,6
Boogie,6
Light Music,6
Operetta,6
boogie,6
Power Metal,6
finnish pop,6
seresta,6
P.Funk,6
Cut-up/DJ,6
latin hip hop,6
lagu jawa,6
finnish rock,6
Doo Wop,6
arabic hip hop,6
Vaporwave,6
Organ,5
electropop,5
Euro-Disco,5
chinese rock,5
Chinese Classical,5
MPB,5
sexy drill,5
Electroacoustic,5
brazilian pop,5
Post-Modern,5
Electric Blues,5
Ska,5
cumbia,5
Freestyle,5
afro adura,5
cedm,5
Oi,5
raï,5
Bossa Nova,5
Broken Beat,5
Samba,5
k-rap,5
Medieval,5
Reggae-Pop,5
Darkwave,5
arena rock,5
Tribal House,5
italian trap,5
shatta,5
funk melody,5
Impressionist,5
Flamenco,5
egyptian pop,5
Roots Reggae,5
Italodance,5
asakaa,5
Cool Jazz,5
pagode,5
mexican indie,4
Tech Trance,4
Future House,4
Karaoke,4
Post Bop,4
Horrorcore,4
Breakcore,4
Celtic,4
Crunk,4
Hip-House,4
axé,4
champeta,4
Grindcore,4
pop urbaine,4
french r&b,4
Batucada,4
Salsa,4
Goth Rock,4
indorock,4
rap québécois,4
Nursery Rhymes,4
Rhythmic Noise,4
k-rock,4
finnish hip hop,4
french rap,4
turkish hip hop,4
bongo flava,4
Glitch Hop,4
argentine trap,4
anatolian rock,4
Technical,4
Dub Techno,4
zouk,4
arabesk,4
Hindustani,4
Alternative Metal,4
dansband,4
Avant-garde Jazz,4
Movie Effects,4
Hi NRG,4
bachata,4
ghazal,4
sierreño,4
Tango,4
dansktop,3
chinese r&b,3
Harsh Noise Wall,3
Political,3
Donk,3
Power Electronics,3
Interview,3
Progressive Metal,3
Horror Rock,3
Dialogue,3
mexican hip hop,3
Twelve-tone,3
Acid Jazz,3
Future Bass,3
funk pop,3
Hard Bop,3
Soca,3
Speech,3
russelåter,3
go-go,3
Bhangra,3
Mod,3
EBM,3
Barbershop,3
iskelmä,3
Volksmusik,3
Bossanova,3
Public Broadcast,3
Education,3
moroccan pop,3
guaracha,3
Educational,3
brazilian hip hop,3
latin dance,3
desi hip hop,3
spanish-language reggae,3
pop country,3
k-ballad,3
khaleeji,3
nueva trova,3
anime rap,3
chicha,3
marathi pop,3
flamenco pop,3
Dixieland,3
Pacific,3
Symphonic Rock,3
punjabi hip hop,3
Hawaiian,3
telugu pop,3
fado,3
Deathcore,3
Britpop,3
tamil dance,3
Berlin-School,3
Dungeon Synth,3
tamil pop,3
sad sierreño,3
hyphy,3
corridos tumbados,3
corridos bélicos,3
Balearic,3
J-pop,3
No Wave,3
tejano,3
Goa Trance,3
turkish pop,3
indie quebecois,2
argentine rock,2
Makina,2
tropical music,2
Monolog,2
vallenato,2
popular colombian music,2
Hyperpop,2
qawwali,2
Ghetto,2
Cha-Cha,2
Skiffle,2
Lovers Rock,2
malayalam pop,2
kannada pop,2
son jarocho,2
kompa,2
candombe,2
Anison,2
brazilian trap,2
Oratorio,2
dance,2
Speed Metal,2
Ragtime,2
taiwanese pop,2
Speed Garage,2
Highlife,2
pinoy rock,2
Turntablism,2
contemporary r&b,2
colombian pop,2
Afro-Cuban,2
Memphis Rap,2
Acid House,2
Bayou Funk,2
kollywood,2
opm,2
latin rock,2
Reggaeton,2
Viking Metal,2
rock en español,2
pinoy r&b,2
Canzone Napoletana,2
dance pop,2
DJ Battle Tool,2
dembow,2
folk québécois,2
enka,2
moroccan chaabi,2
Rumba,2
Mambo,2
Kayōkyoku,2
Sound Collage,2
folclor andino,2
rumba congolaise,2
neomelodico,2
rock quebecois,2
Zouk,2
Acid Rock,2
gengetone,2
Eurobeat,2
indian indie,2
Latin Pop,2
portuguese hip hop,2
G-Funk,2
Ghettotech,2
Jersey Club,2
Crust,2
maluku,2
Huayno,2
brega,2
tollywood,2
Lambada,2
chinese hip hop,2
philly club,2
Aboriginal,2
