,artist_name,artist_id,artist_popularity,artist_image,genre
0,18th Century Melody,0ksxgmCRVi8GxzCWRqpXjy,0,https://i.scdn.co/image/ab67616d0000b273dc9dbd2c0f3563d2c974e04e,[]
1,222garden,3a1AvuhA1L90fgYpBcgX14,0,https://i.scdn.co/image/ab6761610000e5eb0b25b0fbd633522cb9abd140,[]
2,51 Black Super,5VWK31RnPSWHaJO2gtk2bQ,0,https://i.scdn.co/image/ab67616d0000b2731723472491a58fca71db3b5e,['garage rock' 'french house']
3,A Christmas Carol Orchestra,1SCzSzIDniOq76j7spB5ZU,0,https://i.scdn.co/image/ab67616d0000b2735f999a32b371bc87233fa3d9,[]
4,AV,6p7dtRTBKzbCh8ZZEyDLzD,0,https://i.scdn.co/image/ab6761610000e5eb485b3d6a5ac70013a51bcdfc,['Electronic' 'Techno']
5,Above Atlas,2yuxPdEXFfqas4sbP1ENKL,0,https://i.scdn.co/image/ab67616d0000b27336a683a19dee8958fe8f5e17,[]
6,Acid Rezerver,3hfYldW3pHuFSCiZz8qgdm,0,https://i.scdn.co/image/ab6761610000e5ebc0148769d1f3c500bc33e945,['tekno' 'psytrance']
7,Acoustic Sinners,7FNogofJpD769gdAzon4mE,0,https://i.scdn.co/image/ab67616d0000b2736eec9e495d3f721d4e3ab8a1,[]
8,Adrien Barthe,1Owa4pZksoHsviEiMl3v72,0,https://i.scdn.co/image/ab67616d0000b2737b894d2d2c8c8d64bce2cc72,[]
9,Agrande,3rZkwvVkWE5aKkxxP7EQxd,0,https://i.scdn.co/image/ab67616d0000b273854e977f36e67c20903d1b47,['progressive house']
10,Alan Weekes,6EcnnY75m5Qd2q8FDZC719,0,https://i.scdn.co/image/ab67616d0000b273931cb5d86bbb351da0c04377,['lovers rock']
11,Aleks Tremblay,3yXhRmNLI3PEl3bhtBjQZv,0,https://i.scdn.co/image/ab67616d0000b2738a0ad628f776d4ac7b29101c,[]
12,Alenia,5n8p6vrexqR7wICnZEPR18,0,https://i.scdn.co/image/ab67616d0000b273b1711a418e518d39f5c756bb,['tribal house']
13,Alex Sword & John Chevalier,62fNEnQzoYJImiMEZprIsD,0,https://i.scdn.co/image/ab67616d0000b2730dba6231a21b42908e96019f,['Electronic' 'Techno']
14,Alicia Bings,6N2oZcmd9jICcDDYrjkpjU,0,https://i.scdn.co/image/ab67616d0000b2739fb8c7f94f263123e8a6580d,[]
15,Alpaca Factory,2Djyy8bQS3gY7GyzPg7iH9,0,https://i.scdn.co/image/ab6761610000e5ebad823f21d66a8237eeb632e4,[]
16,AlteredRealityy,5AKTion2BMsQv7Ee9FOW7i,0,https://i.scdn.co/image/ab67616d0000b2734e328a47c1f7f3c2066d7bd8,[]
17,Amiicus,5q7IVqZvuVn6qDujPVQn8O,0,https://i.scdn.co/image/ab6761610000e5eb9823682f27dc81a85120f863,[]
18,Amnesia Amnesia,1lVw8FQWc96y4YH0AVc1G7,0,https://i.scdn.co/image/ab6761610000e5ebb323ac474c25d71f3a785673,['Rock' 'Alternative Rock' 'Hardcore' 'Emo']
19,Amos Jules,0WmIntPodE5ZfXvGmsjS1A,0,https://i.scdn.co/image/ab67616d0000b273206a439db3f8dc81e3cb72d0,[]
20,Ana Marce,2hLg5cn5tsX7PjWKJHjknH,0,https://i.scdn.co/image/ab67616d0000b273fb4b11fb1f1bf5fb6c33ef69,[]
21,Anima & Ennui,1U0ooypQ59GyKyj1smbLz7,0,https://i.scdn.co/image/ab6761610000e5ebbbc8f63960ec4f0f7cc3ff7a,[]
22,Apeman Spaceman,66BH8Jnv0yD9okIXPWR5vZ,0,https://i.scdn.co/image/ab6761610000e5ebb4fcb5913fdef3f89bb3eb88,['Rock' 'Alternative Rock' 'Indie Rock']
23,Arno Vancolen,6l7kpMU6vrvpM901UnNuTi,0,https://i.scdn.co/image/ab67616d0000b2735ff7bbc5d77aca95f12ee2f8,['krautrock']
24,Arousal,2Jd6LzzVNarAIgxvgrmfD5,0,https://i.scdn.co/image/ab67616d0000b2732ae5893e9c3bd55a3ec0528c,['Rock']
25,Asturcón,0C7T0DUskkIgfksJyipVxt,0,https://i.scdn.co/image/ab67616d0000b273fa974e9de1e1c046ec6526a7,['progressive rock']
26,Austen Showers,0VGhCK8wuBJ69zSVVNM5PP,0,https://i.scdn.co/image/ab6761610000e5ebecefc0c71579ca740529c7cd,[]
27,Awale Jant Band,6cinIxSY7ulubocBa3sQxs,0,https://i.scdn.co/image/ab6761610000e5eb479069f7afa8b706e609ed68,"['Jazz' 'Latin' 'Funk / Soul' 'Folk, World, & Country' 'Afro-Cuban Jazz'
 'Afrobeat' 'African']"
28,Azajjin,2qyeeNPXHdRwjAnDhV4dhZ,0,https://i.scdn.co/image/ab6761610000e5eb3398db45ab74437713e19e9b,[]
29,B.I.G.,0NyUIeeFpzzj0N11EX5Krc,0,https://i.scdn.co/image/ab6761610000e5eb0a4221c5ea361ef8dde7df8d,['cloud rap']
30,BK Slider,0ATwzqCF4VdxLY3diMzUjC,0,https://i.scdn.co/image/ab67616d0000b273295bc702bff354ab786d1736,[]
31,BRITE GVNG,03SG3QYfweGjoOw26Mgdsv,0,https://i.scdn.co/image/ab6761610000e5ebbdd5e8d18bd582ccfbb8f947,[]
32,Baegul,18oQ2z0zwGPeierU42Mz2P,0,https://i.scdn.co/image/ab6761610000e5eb901166140af3e585e1881213,[]
33,Ballrogg,4g37xg3Zop1LXwDRZWbRLu,0,https://i.scdn.co/image/ab6761610000e5eb2bb02702b3eab7f81196be23,['free jazz']
34,Bambi,7lTVuYCjgogS9Dbnm9dotf,0,https://i.scdn.co/image/ab67616d0000b2735d5d4d6488cf1dd276afe28a,['Electronic' 'Pop' 'Europop' 'Dance-pop']
35,Bankxy,4PMOUAoh7xHL7WQ1isti9s,0,https://i.scdn.co/image/ab6761610000e5eba483c9da2e0d5822b52bf8a7,[]
36,Banu's Best,5FonrA5rj6tvkn2H9LTWAz,0,https://i.scdn.co/image/ab67616d0000b273e6673d2165a91f496aa528c5,[]
37,Berkan284,7ecVm8DyLfJnXpslaakijt,0,https://i.scdn.co/image/ab6761610000e5eb749fc8ae55be30380174740a,[]
38,Bertold Hummel,5NAoitxb37bS5tpprpYq8J,0,https://i.scdn.co/image/ab67616d0000b2734454d464cb22b163b50182db,['Electronic' 'Classical' 'Abstract' 'Contemporary']
39,Bill Hardie,1eCXGHCHjxVC9Jm5AegDsG,0,https://i.scdn.co/image/ab67616d0000b2735b9c46a381733a5f999ca1c9,"['Folk, World, & Country']"
40,Birds of Burden,1OUXefKxNbTREIGX4VrvUe,0,https://i.scdn.co/image/ab67616d0000b2733ada7af5580c1a8e81620101,['Rock' 'Alternative Rock']
41,Black Onassis,1oIc6UFndc0KEYAMtbYL0N,0,https://i.scdn.co/image/ab6761610000e5eb6faf86e56a39e6032517c407,['Electronic' 'Rock' 'Indie Rock' 'Electro']
42,Black Patterns,5sWKcbU2V5HkLQAIwll5qQ,0,https://i.scdn.co/image/ab67616d0000b273a63df3953bd888d5a842906d,['lo-fi house']
43,Blair Sound Design,1CuQhtsXEzF4RbfgjrZivI,0,https://i.scdn.co/image/ab67616d0000b273c56b679b4b58ebb979ea2c26,['lo-fi house' 'funky house']
44,Blazing Redheads,0saZdCuFtIT5oneC4MhBXW,0,https://i.scdn.co/image/ab67616d0000b273adc888461b014e68a473b515,['latin jazz']
45,Blixaboy,4H2NzNFY2AvDjUK7Vw44zu,0,https://i.scdn.co/image/ab6761610000e5eb37436e29ab81c20b34211063,['idm']
46,Blockparty,6tra8DBI8Owfuw8mbwk4WV,0,https://i.scdn.co/image/ab67616d0000b273d3c64e6c5077010d3dcd0c85,[]
47,Blue-Eyed Hawk,6Q5rZnJ05K6tPljUSZ6WrP,0,https://i.scdn.co/image/ab6761610000e5eb3640864440a172d863d9a09f,['jazz fusion']
48,Bogdan Dražić,03gJYEgVLWXCnDWtpvV8TZ,0,https://i.scdn.co/image/ab67616d0000b273dfb102246b547ad27d564f40,['ebm']
49,Bongeezy,1ZNAfrp7uaVhi5erqiEqyi,0,https://i.scdn.co/image/ab6761610000e5ebf23135836658048f04123e27,[]
50,Brazen,3yjUE55wfDvWNH2voOin8q,0,https://i.scdn.co/image/ab67616d0000b2731b02f0f31604561e3eb93937,['breakbeat' 'uk garage']
51,Broadstrokes,3IStT5xgUOXeY1i4BTyVqS,0,https://i.scdn.co/image/ab6761610000e5eb7fd616e9d008f3cb6aed5c42,['soul jazz']
52,Broadway,6E61EDDm6DtxYZpT3p0xTK,0,https://i.scdn.co/image/ab67616d0000b273a325da526d1c2f1e7652919f,['Rock' 'Pop Punk' 'Post-Hardcore']
53,Broke Casino,6w8hwzgW1VUwuFnxSQ0uTA,0,https://i.scdn.co/image/ab6761610000e5eb59bc4328913284d5a81e9c76,['Rock' 'Rockabilly']
54,C.P.Smith,42Sq7zMUa14pEDAIod4byg,0,https://i.scdn.co/image/ab67616d0000b2735f08fc282760423d39ddd9bb,['idm']
55,CASH BANDICOOT,3ZYL5wTYJMcIt9ZlO0AXdU,0,https://i.scdn.co/image/ab6761610000e5ebbcc7f176fa3d0059907d65fa,[]
56,CJay,5nJCXAh5NRTz0yAZWMJGYM,0,https://i.scdn.co/image/ab6761610000e5ebc1fe464bcc46792b612c86d3,['Electronic' 'Progressive House' 'House' 'Breaks' 'Electro']
57,Ca$h Bandicoot,265wt0gzpvwnjO2kSZrYNS,0,https://i.scdn.co/image/ab6761610000e5ebfb13a9aa8ce66f8066c76ea6,['baltimore club' 'ballroom vogue' 'jersey club']
58,Caesar Did It,7eTRxemsp99tDdSHwnhVXx,0,https://i.scdn.co/image/ab6761610000e5ebf306fe096e9423c31d88fbe4,[]
59,CalmStasis,3wNhh7ObEGC8BXPaAbNe39,0,https://i.scdn.co/image/ab67616d0000b273dbbf27a0b31e2e42e7ce0ea4,[]
60,Calves,4u41wypLbwujPyhwwzsnVF,0,https://i.scdn.co/image/47118b912e46149e336a26f3eee5453c841faf6e,['Rock' 'Folk Rock' 'Acoustic' 'Lo-Fi' 'Experimental']
61,Cameron,7ztAX1yeFm7A3EqhwmGBc4,0,https://i.scdn.co/image/ab6761610000e5eb1e2eaf3bb4af89fe85c84e29,['gabber' 'speedcore' 'hardcore techno' 'tekno']
62,Carlo Farinha,5hAjPT2EOZIwjN73IYH9I2,0,https://i.scdn.co/image/ab6761610000e5ebac56a1af7780edfab40eaa46,['jungle']
63,Carmen MacRae,1UXPbYGvV9wwXSdsOliwQd,0,https://i.scdn.co/image/ab67616d0000b273e6b6699c77cb754bc31939f6,['vocal jazz']
64,Caspar Leopard,2MBVm6ftlzhoyLKctyIEt6,0,https://i.scdn.co/image/ab6761610000e5eb9bf83f01c5ce7dbc736193a0,['Electronic' 'Rock' 'Alternative Rock' 'Psychedelic Rock']
65,Cat Mclean,2qy3PnpBqtM2yivjLYcmVj,0,https://i.scdn.co/image/ab67616d0000b27310cfc0a2ddc6581083801b24,['Rock']
66,Cengiz Tanc,5HS1BoXPMBMPRLGpbTFJa2,0,https://i.scdn.co/image/ab67616d0000b27355a3653486b8f92a25ddae34,[]
67,Chamber orchestra of Leningrad Philharmonia,4BNJEzXq7mhty2730D4NYa,0,https://i.scdn.co/image/ab67616d0000b2737a5c47ea56c47615e96ddab6,[]
68,Charles Beach Hawley,5AFthJkxX1MU1SdICVj9Ax,0,https://i.scdn.co/image/ab67616d0000b273086a6bc404d21ff99cb25772,[]
69,Charlie!,4zxkkVoMN7N2stzLIB0d01,0,https://i.scdn.co/image/ab6761610000e5eb2fe1effd5d5df167372b8bd3,['tech house']
70,Chicago Jim,6aifImaPHSwOWiY96v5oR4,0,https://i.scdn.co/image/ab67616d0000b273ca60f4c75eff34a17e8793f4,['chicago house' 'lo-fi house']
71,ChilledCow,5lYIovAuRzHZLXAZ2UgVmz,0,https://i.scdn.co/image/ab6761610000e5eb7cccb050eb369566a96d00fe,[]
72,Chrislo,485nlorWp3gz0JwoGxVMGZ,0,https://i.scdn.co/image/ab67616d0000b273ffb537de83d2cf223dba9445,['Electronic' 'Techno' 'Acid']
73,Christmas Choirs,2SDqobPsP35O3BZAfUYyFQ,0,https://i.scdn.co/image/ab67616d0000b2731f73436e0a634de31f61afa2,[]
