date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl,section
22-08-2020,'We are struggling': California under strain as fires burn area the size of Rhode Island – as it happened,"Wildfires in California which have displaced tens of thousands of people and killed at least six people, in the midst of a heatwave and a pandemic",https://www.theguardian.com/world/live/2020/aug/21/california-fires-wildfires-latest-news-updates,https://media.guim.co.uk/b8b3a67604e403ad25846333f6e2a4359ccb4e53/0_260_6000_3600/500.jpg,world
23-08-2020,Cross-party MPs to sue UK government for details of Covid PPE contracts,Legal letter accuses ministers of breaching transparency rules over non-disclosure of contracts worth over £5bn,https://www.theguardian.com/world/2020/aug/23/cross-party-mps-sue-government-for-details-of-covid-ppe-contracts,https://media.guim.co.uk/3b6f0182a88b208372f962762e09d31ecc6a0e32/0_238_5642_3385/500.jpg,world
24-08-2020,Bolsonaro tells journalist he would 'like to smash your face in' over financial questions,Response came after Brazil’s president was asked a question about mystery payments to his wife ,https://www.theguardian.com/world/2020/aug/24/bolsonaro-tells-journalist-he-would-like-to-smash-their-face-in-over-corruption-claims,https://media.guim.co.uk/8201fd11c2add6c70b9e301017a577400a946ce6/0_216_4922_2955/500.jpg,world
25-08-2020,California wildfire death toll up to seven as huge blazes burn on,Governor describes blazes as ‘historic’ but San Francisco Bay Area dodges major lightning storm,https://www.theguardian.com/world/2020/aug/24/california-wildfires-death-toll-evacuations-santa-cruz-bay-area-lightning-complex,https://media.guim.co.uk/7ac3d6dc11e2eae50510e88968416bf4fb697add/0_160_2400_1440/500.jpg,world
26-08-2020,'You are weak': floodgates open as more Christchurch victims come forward,"Court hears a mixture of defiance, anger and sadness on third day of hearing to decide gunman’s sentence, with more victims choosing to speak",https://www.theguardian.com/world/2020/aug/26/you-are-weak-floodgates-open-as-more-christchurch-victims-come-forward,https://media.guim.co.uk/ff165f4fc705c38688d71adef62700a1e3c0193b/111_70_3389_2033/500.jpg,world
27-08-2020,Christchurch shooting: mosque gunman sentenced to life without parole,"Australian terrorist did not oppose the unprecedented sentence, which comes after three days of emotional victim impact statements ",https://www.theguardian.com/world/2020/aug/27/christchurch-shooting-mosque-gunman-sentenced-to,https://media.guim.co.uk/5eb3c4960ef911c55526c39c43dca9b43107ea10/0_370_6720_4032/500.jpg,world
28-08-2020,Auckland lockdown to ease despite new Covid cases,Finance minister says ‘we are nearly there’ but urges residents to get tested if they display symptoms,https://www.theguardian.com/world/2020/aug/28/auckland-lockdown-to-ease-despite-new-covid-cases,https://media.guim.co.uk/3c540d52eef6d880593012958bc76e6f312f9dfd/0_120_4560_2736/500.jpg,world
29-08-2020,"Caitlin Moran: 'Every few years, I reread How To Be A Woman and marvel at what I got wrong'","When the author wrote her 2011 bestseller, she assumed she was through the hard bit. Ten years later, she’s still learning",https://www.theguardian.com/world/2020/aug/29/caitlin-moran-reread-how-to-be-a-woman-marvel-what-i-got-wrong,https://media.guim.co.uk/7465c7eae2060a6ba3db207105e261a8b8413a44/0_780_5562_3337/500.jpg,world
30-08-2020,New Zealand coronavirus: two new cases as Auckland lockdown due to lift,"Masks will be compulsory on public transport and strongly encouraged elsewhere, says prime minister, as restrictions wind back on Monday",https://www.theguardian.com/world/2020/aug/30/new-zealand-coronavirus-two-new-cases-as-auckland-lockdown-due-to-lift,https://media.guim.co.uk/bd039201147e75cd37f11e4d0607ac2dce4fd265/0_180_5400_3240/500.jpg,world
31-08-2020,Monday briefing: Mayor to Trump – this deadly violence is yours,‘Four years of your racist attacks on black people’ … England levy on plastic bags to double … school budgets stretched as classes resume,https://www.theguardian.com/world/2020/aug/31/monday-briefing-mayor-to-trump-this-deadly-violence-is-yours,https://media.guim.co.uk/505761fa768089d3b55eab4adc79bd69d99f9bcd/0_0_3500_2101/500.jpg,world
01-09-2020,New Zealand stock exchange hacks: who is behind them and why now? Explainer,"The stock market has been disrupted throughout the past week, with intelligence agencies brought in to track the source of the problem",https://www.theguardian.com/world/2020/sep/01/new-zealand-stock-exchange-hacks-who-is-behind-them-and-why-now-explainer,https://media.guim.co.uk/d7aaef94a9317111816fa700a60fa4cb61da6963/0_294_5130_3079/500.jpg,world
