album_id,album_name,artist_name,release_date,album_artwork
413ncPNW140PZlHrTQJctK,Ultramega OK (Expanded Reissue),Soundgarden,,https://i.scdn.co/image/ab67616d0000b27339d41babc6687a9ba4856279
2GWQ2m8KcvaC5vtxTUCsFu,Stonekiller / Web of Sin (2017 Remaster),Source Direct,,https://i.scdn.co/image/ab67616d0000b273c6a26af9afe747ccf8a3cfea
45rQnKRoVSTGg1mvd1ddGs,Vortex 135 (Mall Grab Remix),Special Request,,https://i.scdn.co/image/ab67616d0000b273a2ea208f9714a6cfd1722ce2
5gBwzfInkXIQS7WWe3wVrU,"Fireman Sam (1987) Main Theme [From ""Fireman Sam""] [Sped-Up Version]",Speed Geek,,https://i.scdn.co/image/ab67616d0000b273afebe3a9ded87ca703d27228
5OPPgzshSZ5rS40I5N3vqO,And Now Christmas,Various Artists,,https://i.scdn.co/image/ab67616d0000b273173ba4255629e7de59d155a1
6JcXasxsnajzwP5qjzqjec,60s Psychedelic Rock,Various Artists,,https://i.scdn.co/image/ab67616d0000b27392e7d987a6a0c33565aea3f8
7abtUREeDg9JhCKfY6B5wh,Dubstep Floor Fillers 2013 Vol.3,Various Artists,,https://i.scdn.co/image/ab67616d0000b273be278ba23c38de51dd77d187
7mgVRTYZImWwGlbfJYfIgf,Greensleeves Official Dancehall Mixtape Vol. 1 - Bobby Konders / Massive B,Bobby Konders,,https://i.scdn.co/image/ab67616d0000b273a7a4d1c38137ac635a377652
3RJcXXVLIQxLlppvvM6xLR,Feed Me Weird Things (Remastered),Squarepusher,1996-01-01,https://i.scdn.co/image/ab67616d0000b273ec3fb627f768991662b2870e
2llsDTPNUbOw46ruEeGThR,We Are Reasonable People,Various Artists,,https://i.scdn.co/image/ab67616d0000b2737ac03fd0acedacc192d01e22
0L1apAXxXqnl3vMpJMVO2b,Speedy Wunderground - Year 4,Various Artists,2019-12-06,https://i.scdn.co/image/ab67616d0000b273d32ed49b550cc4a3d89679d5
1LAGbpQJIl1vUhpGmmnSUd,Rudolph The Red-Nosed Reindeer,Burl Ives,1965-12-01,https://i.scdn.co/image/ab67616d0000b273edcc2355b480d00f8aad8422
