album_id,album_name,artist_name,release_date,album_artwork
3l7sFYjz6RcnHEA9Le4gBs,Barf (Remix),Amir Mro,2020-10-20,https://i.scdn.co/image/ab67616d0000b27356a85b73d207966cb03dec75
1rhwjore04STMhDGzVvIeE,Oriental Rainbow,Various Artists,2018-06-08,https://i.scdn.co/image/ab67616d0000b2737e6e6d8ffdd9597a96ab019e
5DaToG3KvHnUgTPqY4cEbq,This Is The Life (eDeluxe),Amy Macdonald,2007-01-01,https://i.scdn.co/image/ab67616d0000b273aa2d1f1ecc9aa8f82fd56f7c
0E4xv5gPjykrwBgBZzI8XG,Back To Black (Deluxe Edition),Amy Winehouse,,https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1
3uARqNN4bYqts3Ltg5Jku3,Bocelli (Remastered),Andrea Bocelli,1995-01-01,https://i.scdn.co/image/ab67616d0000b2737e69f0cf9685328522e66e14
4d1XaejoQ5r4jdkV8k5SNJ,"tick, tick... BOOM! (Soundtrack from the Netflix Film)","The Cast of Netflix's Film tick, tick... BOOM!",2021-11-12,https://i.scdn.co/image/ab67616d0000b27321b999d57c62a5f362633a48
5yauUuXppqUj2ulor38hvI,The Book Of Mormon (Original Broadway Cast Recording),Trey Parker,2011-05-17,https://i.scdn.co/image/ab67616d0000b273d9cd8917de31257e2ac920a9
5016dF1FF2mrEtD38l4QiN,The Prom (Music from the Netflix Film),The Cast of Netflix's Film The Prom,2020-12-04,https://i.scdn.co/image/ab67616d0000b273e744e5282632737114a74e51
1J1yxODbNlqKbwRqJxYJUP,Hadestown (Original Broadway Cast Recording),Original Broadway Cast of Hadestown,2019-07-26,https://i.scdn.co/image/ab67616d0000b273b62a5129d9efa26386143622
2eRteetnj4Qs53G8KUiEIT,Leyla (Remixes),ANGEL!,2015-08-14,https://i.scdn.co/image/ab67616d0000b2739db3363f9b18b536fd588cf6
6YvdsRy3lNHkjwK7L4ojMi,Blessings,ANGEL!,2019-07-19,https://i.scdn.co/image/ab67616d0000b273a8e34efd4aaf204c1b9a5f6b
5mZgyfa7rkogNoxxqHpbOg,The Princess and the Frog: Tiana and Her Princess Friends,Various Artists,2009-01-01,https://i.scdn.co/image/ab67616d0000b273c555d7da37ecd2dcf30bad9b
7os43c6BUhMJkDUaEtDufk,Legally Blonde The Musical (Original Broadway Cast Recording),Nell Benjamin,2007-07-16,https://i.scdn.co/image/ab67616d0000b2731828473d593f22288c795e5c
12xXd3NM97X0a6PMgAiwKQ,Soul Stories 2 (Emotional Orchestral Drama Tracks),Anne Sophie Versnaeyen,2019-12-16,https://i.scdn.co/image/ab67616d0000b273cd12022afac8068c93a70743
7lPoGKpCGgdKFAxpudhAH5,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,https://i.scdn.co/image/ab67616d0000b2731192ae62dfe52262a3cc3fed
7nMexBA71PdwPnfqS5Yji5,Coco (Original Motion Picture Soundtrack),Various Artists,2017-11-10,https://i.scdn.co/image/ab67616d0000b2731f062b7159e8f230120512bf
7tOUgcKglzk78d8hOIMWyr,UNHEALTHY (Deluxe),Anne-Marie,2023-07-28,https://i.scdn.co/image/ab67616d0000b273c251fe563280736ad5bface9
2px7kpIPq7CtmEuUuvquTq,Relationship (Acoustic),Anthony Ramos,2020-02-17,https://i.scdn.co/image/ab67616d0000b273e2c981724f277a02f0672519
4p8NCMVfjHF7UmoVf0gy8x,ANTONIO: Lotti - Caldara - Vivaldi,Alex Potter,2023-06-02,https://i.scdn.co/image/ab67616d0000b2737629461518d0c23945e0bb7c
36eVEeDGGTRLsab8AzI2Yj,Vivaldi's Cello (Remastered),Antonio Vivaldi,,https://i.scdn.co/image/ab67616d0000b273cae082649e89713915f075af
4uRmnA7JUnFVe6JEwNl7XD,First Burn,Various Artists,2018-04-30,https://i.scdn.co/image/ab67616d0000b27399ca4934c07dd1f4e0e64204
5mJUEg7X66N27nkv2MRlJr,Giuliani & Vivaldi: Guitar Concertos,Eduardo Fernandez,1987-01-01,https://i.scdn.co/image/ab67616d0000b273449e9558a67bec1b28e80fda
7kSa9AwcDQ6ZUScaXxp8zP,Creed II: The Album,Mike WiLL Made-It,2018-11-16,https://i.scdn.co/image/ab67616d0000b273e8230123dfe625c953eabae2
1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),Lin-Manuel Miranda,2015-09-25,https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008
123gDnj9pBl8GNRLyOViC9,"This Wish (From ""Wish"")",Ariana DeBose,2023-10-18,https://i.scdn.co/image/ab67616d0000b273a40e82a624fd71db16151256
